semana;codigo_comuna;Casos_actuales_fin;Casos_actuales_ini;Casos_actuales_prom
2020-04-13;6109;0;0;0
2020-04-13;6204;0;0;0
2020-04-13;6110;0;0;0
2020-04-13;6305;0;0;0
2020-04-13;6205;0;0;0
2020-04-13;6111;3;3;3,33333333333333
2020-04-13;6306;0;0;0
2020-04-13;6206;0;0;0
2020-04-13;6307;0;0;0
2020-04-13;6112;0;0;0
2020-04-13;6113;0;0;0
2020-04-13;6201;0;0;0
2020-04-13;6308;0;0;0
2020-04-13;6309;0;0;0
2020-04-13;6114;0;0;0
2020-04-13;6101;3;3;3
2020-04-13;6115;0;0;0
2020-04-13;6116;0;0;0
2020-04-13;6301;1;1;1
2020-04-13;6117;0;1;0,333333333333333
2020-04-13;6310;0;1;0,333333333333333
2020-04-13;7201;4;2;2,66666666666667
2020-04-13;7202;0;0;0
2020-04-13;7402;0;2;1
2020-04-13;7102;5;1;2,33333333333333
2020-04-13;7103;4;3;3
2020-04-13;7301;12;8;9,33333333333333
2020-04-13;7104;0;0;0
2020-04-13;7302;0;0;0
2020-04-13;7303;1;0;0,333333333333333
2020-04-13;7401;7;5;5
2020-04-13;7403;0;0;0
2020-04-13;7105;5;2;3
2020-04-13;7304;0;0;0
2020-04-13;7404;2;2;2
2020-04-13;7106;5;3;3,66666666666667
2020-04-13;7203;0;0;0
2020-04-13;7107;1;0;0,333333333333333
2020-04-13;7305;1;1;1
2020-04-13;7405;2;1;1,33333333333333
2020-04-13;7108;4;2;2,66666666666667
2020-04-13;7306;1;0;0,333333333333333
2020-04-13;7307;0;1;0,666666666666667
2020-04-13;7109;4;0;1,33333333333333
2020-04-13;7406;4;6;5
2020-04-13;7110;1;1;1
2020-04-13;7101;47;7;21,3333333333333
2020-04-13;7308;1;1;1
2020-04-13;7309;0;0;0
2020-04-13;7407;0;0;0
2020-04-13;7408;0;0;0
2020-04-13;16102;6;13;9,33333333333333
2020-04-13;16101;51;79;63,6666666666667
2020-04-13;16103;7;13;10,3333333333333
2020-04-13;16202;0;0;0
2020-04-13;16203;0;2;0,666666666666667
2020-04-13;16302;5;6;5
2020-04-13;16104;1;1;1
2020-04-13;16204;2;2;2
2020-04-13;16303;2;2;2
2020-04-13;16105;1;3;2
2020-04-13;16106;3;5;4
2020-04-13;16205;0;1;0,333333333333333
2020-04-13;16107;0;5;1,66666666666667
2020-04-13;16201;0;2;0,666666666666667
2020-04-13;16206;0;5;2,33333333333333
2020-04-13;16301;5;12;9
2020-04-13;16304;1;1;1
2020-04-13;16108;1;1;1
2020-04-13;16305;4;5;5
2020-04-13;16207;0;0;0
2020-04-13;16109;13;25;18,3333333333333
2020-04-13;8314;0;0;0
2020-04-13;8302;0;0;0
2020-04-13;8202;0;2;0,666666666666667
2020-04-13;8303;5;7;5,33333333333333
2020-04-13;8203;0;0;0
2020-04-13;8103;8;27;16
2020-04-13;8101;42;22;36,6666666666667
2020-04-13;8204;0;0;0
2020-04-13;8102;2;9;4,33333333333333
2020-04-13;8205;0;0;0
2020-04-13;8104;0;0;0,333333333333333
2020-04-13;8112;18;67;36,3333333333333
2020-04-13;8105;6;4;5
2020-04-13;8304;1;0;0,666666666666667
2020-04-13;8201;0;0;0
2020-04-13;8206;0;0;0
2020-04-13;8301;2;4;2,33333333333333
2020-04-13;8106;0;0;0
2020-04-13;8305;0;0;0
2020-04-13;8306;3;4;4
2020-04-13;8307;0;2;1,33333333333333
2020-04-13;8107;6;5;5,33333333333333
2020-04-13;8308;0;0;0
2020-04-13;8309;0;0;0
2020-04-13;8108;14;29;20
2020-04-13;8310;0;0;0
2020-04-13;8311;0;0;0
2020-04-13;8109;0;0;0
2020-04-13;8110;22;17;23,3333333333333
2020-04-13;8207;0;1;0,333333333333333
2020-04-13;8111;14;27;19,3333333333333
2020-04-13;8312;1;1;0,666666666666667
2020-04-13;8313;0;0;0
2020-04-13;9201;14;12;14,3333333333333
2020-04-13;9102;14;14;14,3333333333333
2020-04-13;9121;1;0;0,333333333333333
2020-04-13;9202;0;1;0,666666666666667
2020-04-13;9103;1;1;1,33333333333333
2020-04-13;9203;2;3;2,33333333333333
2020-04-13;9104;0;0;0
2020-04-13;9204;3;3;2,66666666666667
2020-04-13;9105;0;0;0
2020-04-13;9106;0;1;0,333333333333333
2020-04-13;9107;1;1;0,666666666666667
2020-04-13;9108;4;13;9
2020-04-13;9109;3;4;3,33333333333333
2020-04-13;9205;0;0;0
2020-04-13;9206;0;0;0
2020-04-13;9207;0;0;0
2020-04-13;9110;0;0;0
2020-04-13;9111;11;8;10
2020-04-13;9112;11;19;15
2020-04-13;9113;1;1;0,666666666666667
2020-04-13;9114;0;4;2,33333333333333
2020-04-13;9115;5;1;2,66666666666667
2020-04-13;9208;0;0;0
2020-04-13;9209;0;1;0,666666666666667
2020-04-13;9116;1;0;0,333333333333333
2020-04-13;9101;106;150;125
2020-04-13;9117;1;1;1
2020-04-13;9118;0;3;1,33333333333333
2020-04-13;9210;1;2;1,33333333333333
2020-04-13;9211;1;6;2,66666666666667
2020-04-13;9119;6;10;8
2020-04-13;9120;3;5;4,33333333333333
2020-04-13;14102;1;0;0,666666666666667
2020-04-13;14202;0;1;0,333333333333333
2020-04-13;14201;6;9;7
2020-04-13;14203;0;0;0
2020-04-13;14103;2;1;1,66666666666667
2020-04-13;14104;0;0;0
2020-04-13;14105;0;0;0
2020-04-13;14106;1;6;3,33333333333333
2020-04-13;14107;0;0;0
2020-04-13;14108;0;1;0,333333333333333
2020-04-13;14204;1;4;2
2020-04-13;14101;18;25;21,3333333333333
2020-04-13;10202;3;3;3
2020-04-13;10102;1;2;1
2020-04-13;10201;3;5;4
2020-04-13;10401;0;0;0
2020-04-13;10203;0;0;0
2020-04-13;10103;1;0;0,333333333333333
2020-04-13;10204;0;0;0
2020-04-13;10205;0;0;0
2020-04-13;10104;0;0;0
2020-04-13;10105;2;4;3,33333333333333
2020-04-13;10402;0;0;0
2020-04-13;10403;0;0;0
2020-04-13;10107;1;1;0,666666666666667
2020-04-13;10106;0;0;0
2020-04-13;10108;2;1;1,33333333333333
2020-04-13;10301;39;63;48,6666666666667
2020-04-13;10404;0;0;0
2020-04-13;10101;7;11;9,33333333333333
2020-04-13;10302;0;0;0
2020-04-13;10109;4;4;3,66666666666667
2020-04-13;10206;0;0;0
2020-04-13;10303;5;13;8,66666666666667
2020-04-13;10304;0;1;0,333333333333333
2020-04-13;10207;0;0;0
2020-04-13;10208;0;0;0
2020-04-13;10209;0;0;0
2020-04-13;10210;0;0;0
2020-04-13;10305;1;2;1,66666666666667
2020-04-13;10306;4;13;7,33333333333333
2020-04-13;10307;1;4;3
2020-04-13;11201;0;1;0,333333333333333
2020-04-13;11401;0;1;0,333333333333333
2020-04-13;11202;0;0;0
2020-04-13;11301;0;0;0
2020-04-13;11101;0;0;0
2020-04-13;11203;0;0;0
2020-04-13;11102;0;0;0
2020-04-13;11302;0;0;0
2020-04-13;11402;0;0;0
2020-04-13;11303;0;0;0
2020-04-13;12202;0;0;0
2020-04-13;12201;1;3;1,66666666666667
2020-04-13;12102;0;0;0
2020-04-13;12401;1;1;0,666666666666667
2020-04-13;12301;1;1;0,666666666666667
2020-04-13;12302;1;0;0,333333333333333
2020-04-13;12101;173;207;186,333333333333
2020-04-13;12103;0;0;0
2020-04-13;12104;0;0;0
2020-04-13;12303;0;0;0
2020-04-13;12402;0;0;0
2020-04-20;15101;77;65;71
2020-04-20;15102;0;0;0
2020-04-20;15202;0;0;0
2020-04-20;15201;0;0;0
2020-04-20;1107;19;15;17
2020-04-20;1402;0;0;0
2020-04-20;1403;0;0;0
2020-04-20;1404;0;0;0
2020-04-20;1101;29;10;19,5
2020-04-20;1405;13;17;15
2020-04-20;1401;0;0;0
2020-04-20;2101;121;86;103,5
2020-04-20;2201;9;10;9,5
2020-04-20;2302;7;6;6,5
2020-04-20;2102;30;18;24
2020-04-20;2202;0;0;0
2020-04-20;2203;0;0;0
2020-04-20;2103;0;0;0
2020-04-20;2104;4;5;4,5
2020-04-20;2301;1;4;2,5
2020-04-20;3302;0;0;0
2020-04-20;3102;0;0;0
2020-04-20;3201;0;0;0
2020-04-20;3101;0;4;2
2020-04-20;3202;0;0;0
2020-04-20;3303;0;0;0
2020-04-20;3304;0;1;0,5
2020-04-20;3103;0;2;1
2020-04-20;3301;7;0;3,5
2020-04-20;4103;0;0;0
2020-04-20;4202;0;0;0
2020-04-20;4302;0;0;0
2020-04-20;4102;3;2;2,5
2020-04-20;4201;0;7;3,5
2020-04-20;4104;0;0;0
2020-04-20;4101;4;2;3
2020-04-20;4203;0;0;0
2020-04-20;4303;0;0;0
2020-04-20;4301;0;0;0
2020-04-20;4105;0;0;0
2020-04-20;4304;1;0;0,5
2020-04-20;4305;0;0;0
2020-04-20;4204;1;3;2
2020-04-20;4106;0;0;0
2020-04-20;5602;0;0;0
2020-04-20;5402;0;1;0,5
2020-04-20;5502;9;6;7,5
2020-04-20;5302;2;4;3
2020-04-20;5603;4;0;2
2020-04-20;5102;0;1;0,5
2020-04-20;5702;0;0;0
2020-04-20;5103;3;1;2
2020-04-20;5604;3;4;3,5
2020-04-20;5605;3;1;2
2020-04-20;5503;0;1;0,5
2020-04-20;5201;0;0;0
2020-04-20;5104;0;0;0
2020-04-20;5504;0;2;1
2020-04-20;5401;0;0;0
2020-04-20;5802;11;11;11
2020-04-20;5703;0;0;0
2020-04-20;5301;1;4;2,5
2020-04-20;5506;0;0;0
2020-04-20;5803;0;0;0
2020-04-20;5704;0;0;0
2020-04-20;5403;0;0;0
2020-04-20;5404;0;0;0
2020-04-20;5105;0;0;0
2020-04-20;5705;3;4;3,5
2020-04-20;5501;2;4;3
2020-04-20;5801;4;5;4,5
2020-04-20;5107;3;0;1,5
2020-04-20;5303;1;1;1
2020-04-20;5601;20;16;18
2020-04-20;5304;1;1;1
2020-04-20;5701;0;0;0
2020-04-20;5706;0;0;0
2020-04-20;5606;5;4;4,5
2020-04-20;5101;16;18;17
2020-04-20;5804;1;0;0,5
2020-04-20;5109;17;18;17,5
2020-04-20;5405;0;0;0
2020-04-20;13502;0;0;0
2020-04-20;13402;16;17;16,5
2020-04-20;13403;5;5;5
2020-04-20;13102;24;19;21,5
2020-04-20;13103;51;53;52
2020-04-20;13301;16;17;16,5
2020-04-20;13104;37;35;36
2020-04-20;13503;0;2;1
2020-04-20;13105;51;57;54
2020-04-20;13602;2;3;2,5
2020-04-20;13106;66;53;59,5
2020-04-20;13107;22;21;21,5
2020-04-20;13108;127;68;97,5
2020-04-20;13603;0;1;0,5
2020-04-20;13109;26;28;27
2020-04-20;13110;82;78;80
2020-04-20;13111;22;24;23
2020-04-20;13112;53;55;54
2020-04-20;13113;7;10;8,5
2020-04-20;13302;16;12;14
2020-04-20;13114;41;34;37,5
2020-04-20;13115;41;47;44
2020-04-20;13116;23;30;26,5
2020-04-20;13117;34;34;34
2020-04-20;13118;32;16;24
2020-04-20;13119;103;108;105,5
2020-04-20;13504;0;0;0
2020-04-20;13501;20;19;19,5
2020-04-20;13120;73;71;72
2020-04-20;13604;6;11;8,5
2020-04-20;13404;4;4;4
2020-04-20;13121;36;42;39
2020-04-20;13605;17;14;15,5
2020-04-20;13122;72;73;72,5
2020-04-20;13202;4;5;4,5
2020-04-20;13123;39;41;40
2020-04-20;13124;40;42;41
2020-04-20;13201;263;245;254
2020-04-20;13125;59;45;52
2020-04-20;13126;66;66;66
2020-04-20;13127;86;63;74,5
2020-04-20;13128;68;52;60
2020-04-20;13401;143;108;125,5
2020-04-20;13129;47;45;46
2020-04-20;13203;2;1;1,5
2020-04-20;13130;48;57;52,5
2020-04-20;13505;2;1;1,5
2020-04-20;13131;37;21;29
2020-04-20;13101;176;149;162,5
2020-04-20;13601;9;8;8,5
2020-04-20;13303;1;1;1
2020-04-20;13132;5;8;6,5
2020-04-20;6302;0;0;0
2020-04-20;6303;0;0;0
2020-04-20;6102;0;0;0
2020-04-20;6103;1;0;0,5
2020-04-20;6104;0;0;0
2020-04-20;6105;1;0;0,5
2020-04-20;6106;2;0;1
2020-04-20;6202;0;0;0
2020-04-20;6107;2;0;1
2020-04-20;6203;1;0;0,5
2020-04-20;6304;0;0;0
2020-04-20;6108;8;3;5,5
2020-04-20;6109;0;0;0
2020-04-20;6204;0;0;0
2020-04-20;6110;0;0;0
2020-04-20;6305;0;0;0
2020-04-20;6205;0;0;0
2020-04-20;6111;1;3;2
2020-04-20;6306;0;0;0
2020-04-20;6206;0;0;0
2020-04-20;6307;0;0;0
2020-04-20;6112;0;0;0
2020-04-20;6113;0;0;0
2020-04-20;6201;0;0;0
2020-04-20;6308;0;0;0
2020-04-20;6309;0;0;0
2020-04-20;6114;0;0;0
2020-04-20;6101;8;1;4,5
2020-04-20;6115;1;0;0,5
2020-04-20;6116;1;0;0,5
2020-04-20;6301;2;2;2
2020-04-20;6117;0;0;0
2020-04-20;6310;1;0;0,5
2020-04-20;7201;6;5;5,5
2020-04-20;7202;1;1;1
2020-04-20;7402;0;0;0
2020-04-20;7102;11;5;8
2020-04-20;7103;4;4;4
2020-04-20;7301;10;15;12,5
2020-04-20;7104;0;0;0
2020-04-20;7302;0;0;0
2020-04-20;7303;1;1;1
2020-04-20;7401;8;8;8
2020-04-20;7403;1;1;1
2020-04-20;7105;16;9;12,5
2020-04-20;7304;3;1;2
2020-04-20;7404;2;1;1,5
2020-04-20;7106;2;5;3,5
2020-04-20;7203;0;0;0
2020-04-20;7107;3;2;2,5
2020-04-20;7305;0;0;0
2020-04-20;7405;0;2;1
2020-04-20;7108;3;3;3
2020-04-20;7306;9;8;8,5
2020-04-20;7307;1;0;0,5
2020-04-20;7109;8;6;7
2020-04-20;7406;10;6;8
2020-04-20;7110;1;1;1
2020-04-20;7101;82;76;79
2020-04-20;7308;0;1;0,5
2020-04-20;7309;0;0;0
2020-04-20;7407;1;1;1
2020-04-20;7408;0;1;0,5
2020-04-20;16102;8;7;7,5
2020-04-20;16101;37;35;36
2020-04-20;16103;3;9;6
2020-04-20;16202;0;0;0
2020-04-20;16203;0;0;0
2020-04-20;16302;13;12;12,5
2020-04-20;16104;0;0;0
2020-04-20;16204;2;2;2
2020-04-20;16303;0;2;1
2020-04-20;16105;1;1;1
2020-04-20;16106;2;2;2
2020-04-20;16205;0;0;0
2020-04-20;16107;0;1;0,5
2020-04-20;16201;1;0;0,5
2020-04-20;16206;0;0;0
2020-04-20;16301;3;4;3,5
2020-04-20;16304;1;0;0,5
2020-04-20;16108;1;0;0,5
2020-04-20;16305;2;3;2,5
2020-04-20;16207;0;0;0
2020-04-20;16109;3;4;3,5
2020-04-20;8314;0;0;0
2020-04-20;8302;0;0;0
2020-04-20;8202;0;0;0
2020-04-20;8303;6;3;4,5
2020-04-20;8203;0;0;0
2020-04-20;8103;16;7;11,5
2020-04-20;8101;32;33;32,5
2020-04-20;8204;0;0;0
2020-04-20;8102;0;1;0,5
2020-04-20;8205;1;0;0,5
2020-04-20;8104;0;0;0
2020-04-20;8112;13;15;14
2020-04-20;8105;10;5;7,5
2020-04-20;8304;4;1;2,5
2020-04-20;8201;0;0;0
2020-04-20;8206;1;0;0,5
2020-04-20;8301;3;4;3,5
2020-04-20;8106;0;0;0
2020-04-20;8305;0;0;0
2020-04-20;8306;1;2;1,5
2020-04-20;8307;0;0;0
2020-04-20;8107;9;7;8
2020-04-20;8308;0;0;0
2020-04-20;8309;1;1;1
2020-04-20;8108;15;13;14
2020-04-20;8310;0;0;0
2020-04-20;8311;0;0;0
2020-04-20;8109;1;0;0,5
2020-04-20;8110;24;28;26
2020-04-20;8207;0;0;0
2020-04-20;8111;12;10;11
2020-04-20;8312;0;0;0
2020-04-20;8313;1;1;1
2020-04-20;9201;34;25;29,5
2020-04-20;9102;10;12;11
2020-04-20;9121;1;1;1
2020-04-20;9202;0;1;0,5
2020-04-20;9103;0;0;0
2020-04-20;9203;1;0;0,5
2020-04-20;9104;0;0;0
2020-04-20;9204;5;4;4,5
2020-04-20;9105;2;1;1,5
2020-04-20;9106;0;0;0
2020-04-20;9107;2;1;1,5
2020-04-20;9108;5;7;6
2020-04-20;9109;0;3;1,5
2020-04-20;9205;0;0;0
2020-04-20;9206;0;0;0
2020-04-20;9207;0;0;0
2020-04-20;9110;0;0;0
2020-04-20;9111;9;12;10,5
2020-04-20;9112;16;20;18
2020-04-20;9113;3;3;3
2020-04-20;9114;1;1;1
2020-04-20;9115;1;2;1,5
2020-04-20;9208;0;0;0
2020-04-20;9209;2;1;1,5
2020-04-20;9116;11;6;8,5
2020-04-20;9101;83;113;98
2020-04-20;9117;1;0;0,5
2020-04-20;9118;0;0;0
2020-04-20;9210;1;1;1
2020-04-20;9211;39;15;27
2020-04-20;9119;4;8;6
2020-04-20;9120;0;1;0,5
2020-04-20;14102;1;1;1
2020-04-20;14202;0;0;0
2020-04-20;14201;5;6;5,5
2020-04-20;14203;0;0;0
2020-04-20;14103;1;1;1
2020-04-20;14104;0;0;0
2020-04-20;14105;1;0;0,5
2020-04-20;14106;0;0;0
2020-04-20;14107;0;0;0
2020-04-20;14108;0;1;0,5
2020-04-20;14204;1;1;1
2020-04-20;14101;8;15;11,5
2020-04-20;10202;5;8;6,5
2020-04-20;10102;1;1;1
2020-04-20;10201;0;0;0
2020-04-20;10401;0;0;0
2020-04-20;10203;0;0;0
2020-04-20;10103;0;1;0,5
2020-04-20;10204;0;0;0
2020-04-20;10205;0;0;0
2020-04-20;10104;0;1;0,5
2020-04-20;10105;0;2;1
2020-04-20;10402;0;0;0
2020-04-20;10403;0;0;0
2020-04-20;10107;0;0;0
2020-04-20;10106;0;0;0
2020-04-20;10108;0;1;0,5
2020-04-20;10301;27;34;30,5
2020-04-20;10404;0;0;0
2020-04-20;10101;5;8;6,5
2020-04-20;10302;1;0;0,5
2020-04-20;10109;0;2;1
2020-04-20;10206;0;0;0
2020-04-20;10303;1;2;1,5
2020-04-20;10304;0;0;0
2020-04-20;10207;0;0;0
2020-04-20;10208;0;0;0
2020-04-20;10209;0;0;0
2020-04-20;10210;0;0;0
2020-04-20;10305;1;0;0,5
2020-04-20;10306;8;3;5,5
2020-04-20;10307;2;2;2
2020-04-20;11201;0;0;0
2020-04-20;11401;0;0;0
2020-04-20;11202;0;0;0
2020-04-20;11301;0;0;0
2020-04-20;11101;0;0;0
2020-04-20;11203;0;0;0
2020-04-20;11102;0;0;0
2020-04-20;11302;0;0;0
2020-04-20;11402;0;0;0
2020-04-20;11303;0;0;0
2020-04-20;12202;0;0;0
2020-04-20;12201;0;1;0,5
2020-04-20;12102;0;0;0
2020-04-20;12401;0;1;0,5
2020-04-20;12301;2;4;3
2020-04-20;12302;1;1;1
2020-04-20;12101;147;181;164
2020-04-20;12103;0;0;0
2020-04-20;12104;0;0;0
2020-04-20;12303;0;0;0
2020-04-20;12402;0;0;0
2020-04-27;15101;105;103;104
2020-04-27;15102;0;0;0
2020-04-27;15202;0;0;0
2020-04-27;15201;0;0;0
2020-04-27;1107;38;27;32,5
2020-04-27;1402;0;0;0
2020-04-27;1403;0;0;0
2020-04-27;1404;0;0;0
2020-04-27;1101;39;38;38,5
2020-04-27;1405;0;9;4,5
2020-04-27;1401;0;0;0
2020-04-27;2101;158;140;149
2020-04-27;2201;33;25;29
2020-04-27;2302;24;8;16
2020-04-27;2102;37;38;37,5
2020-04-27;2202;0;0;0
2020-04-27;2203;0;0;0
2020-04-27;2103;0;0;0
2020-04-27;2104;0;0;0
2020-04-27;2301;1;0;0,5
2020-04-27;3302;0;0;0
2020-04-27;3102;0;0;0
2020-04-27;3201;0;0;0
2020-04-27;3101;11;0;5,5
2020-04-27;3202;0;0;0
2020-04-27;3303;1;1;1
2020-04-27;3304;0;0;0
2020-04-27;3103;2;1;1,5
2020-04-27;3301;12;12;12
2020-04-27;4103;0;0;0
2020-04-27;4202;0;0;0
2020-04-27;4302;0;0;0
2020-04-27;4102;6;4;5
2020-04-27;4201;0;0;0
2020-04-27;4104;0;0;0
2020-04-27;4101;3;5;4
2020-04-27;4203;0;0;0
2020-04-27;4303;0;0;0
2020-04-27;4301;1;0;0,5
2020-04-27;4105;0;0;0
2020-04-27;4304;1;1;1
2020-04-27;4305;0;0;0
2020-04-27;4204;0;1;0,5
2020-04-27;4106;0;0;0
2020-04-27;5602;1;1;1
2020-04-27;5402;4;3;3,5
2020-04-27;5502;3;9;6
2020-04-27;5302;0;1;0,5
2020-04-27;5603;6;4;5
2020-04-27;5102;0;0;0
2020-04-27;5702;0;0;0
2020-04-27;5103;8;4;6
2020-04-27;5604;1;3;2
2020-04-27;5605;5;2;3,5
2020-04-27;5503;0;0;0
2020-04-27;5201;0;0;0
2020-04-27;5104;0;0;0
2020-04-27;5504;1;0;0,5
2020-04-27;5401;0;0;0
2020-04-27;5802;0;4;2
2020-04-27;5703;2;0;1
2020-04-27;5301;2;0;1
2020-04-27;5506;0;0;0
2020-04-27;5803;0;0;0
2020-04-27;5704;0;0;0
2020-04-27;5403;0;0;0
2020-04-27;5404;0;0;0
2020-04-27;5105;0;0;0
2020-04-27;5705;1;2;1,5
2020-04-27;5501;3;2;2,5
2020-04-27;5801;9;3;6
2020-04-27;5107;4;6;5
2020-04-27;5303;0;0;0
2020-04-27;5601;27;20;23,5
2020-04-27;5304;2;3;2,5
2020-04-27;5701;3;0;1,5
2020-04-27;5706;11;0;5,5
2020-04-27;5606;4;3;3,5
2020-04-27;5101;34;11;22,5
2020-04-27;5804;3;2;2,5
2020-04-27;5109;23;17;20
2020-04-27;5405;0;0;0
2020-04-27;13502;0;0;0
2020-04-27;13402;27;16;21,5
2020-04-27;13403;3;5;4
2020-04-27;13102;66;29;47,5
2020-04-27;13103;76;50;63
2020-04-27;13301;35;20;27,5
2020-04-27;13104;75;49;62
2020-04-27;13503;4;0;2
2020-04-27;13105;93;66;79,5
2020-04-27;13602;9;4;6,5
2020-04-27;13106;177;95;136
2020-04-27;13107;35;19;27
2020-04-27;13108;257;159;208
2020-04-27;13603;3;2;2,5
2020-04-27;13109;52;30;41
2020-04-27;13110;166;112;139
2020-04-27;13111;60;33;46,5
2020-04-27;13112;126;96;111
2020-04-27;13113;42;24;33
2020-04-27;13302;38;23;30,5
2020-04-27;13114;80;37;58,5
