SEMANA;CODIGO_COMUNA;PASO
2021-01-25;1404;1
2021-02-01;1404;1
2021-02-08;1404;2
2021-02-15;1404;2
2021-02-22;1404;1
2021-03-01;1404;1
2021-03-08;1404;2
2021-03-15;1404;2
2021-03-22;1404;2
2021-03-29;1404;3
2021-04-05;1404;3
2021-04-12;1404;2
2021-04-19;1404;2
2021-04-26;1404;2
2021-05-03;1404;2
2020-07-27;1405;3
2020-08-03;1405;3
2020-08-10;1405;3
2020-08-17;1405;3
2020-08-24;1405;3
2020-08-31;1405;3
2020-09-07;1405;3
2020-09-14;1405;3
2020-09-21;1405;3
2020-09-28;1405;3
2020-10-05;1405;3
2020-10-12;1405;3
2020-10-19;1405;3
2020-10-26;1405;3
2020-11-02;1405;3
2020-11-09;1405;3
2020-11-16;1405;3
2020-11-23;1405;3
2020-11-30;1405;3
2020-12-07;1405;3
2020-12-14;1405;3
2020-12-21;1405;3
2020-12-28;1405;3
2021-01-04;1405;3
2021-01-11;1405;2
2021-01-18;1405;2
2021-01-25;1405;2
2021-02-01;1405;2
2021-02-08;1405;2
2021-02-15;1405;2
2021-02-22;1405;2
2021-03-01;1405;1
2021-03-08;1405;1
2021-03-15;1405;1
2021-03-22;1405;1
2021-03-29;1405;1
2021-04-05;1405;2
2021-04-12;1405;2
2021-04-19;1405;2
2021-04-26;1405;2
2021-05-03;1405;2
2020-07-27;2101;1
2020-08-03;2101;1
2020-08-10;2101;1
2020-08-17;2101;1
2020-08-24;2101;1
2020-08-31;2101;1
2020-09-07;2101;1
2020-09-14;2101;1
2020-09-21;2101;1
2020-09-28;2101;2
2020-10-05;2101;2
2020-10-12;2101;2
2020-10-19;2101;2
2020-10-26;2101;2
2020-11-02;2101;2
2020-11-09;2101;3
2020-11-16;2101;3
2020-11-23;2101;3
2020-11-30;2101;3
2020-12-07;2101;3
2020-12-14;2101;3
2020-12-21;2101;3
2020-12-28;2101;2
2021-01-04;2101;2
2021-01-11;2101;1
2021-01-18;2101;1
2021-01-25;2101;1
2021-02-01;2101;1
2021-02-08;2101;1
2021-02-15;2101;2
2021-02-22;2101;2
2021-03-01;2101;2
2021-03-08;2101;2
2021-03-15;2101;2
2021-03-22;2101;1
2021-03-29;2101;1
2021-04-05;2101;1
2021-04-12;2101;1
2021-04-19;2101;1
2021-04-26;2101;2
2021-05-03;2101;2
2020-07-27;2102;1
2020-08-03;2102;1
2020-08-10;2102;1
2020-08-17;2102;1
2020-08-24;2102;1
2020-08-31;2102;1
2020-09-07;2102;1
2020-09-14;2102;1
2020-09-21;2102;1
2020-09-28;2102;2
2020-10-05;2102;2
2020-10-12;2102;2
2020-10-19;2102;2
2020-10-26;2102;2
2020-11-02;2102;2
2020-11-09;2102;3
2020-11-16;2102;3
2020-11-23;2102;3
2020-11-30;2102;3
2020-12-07;2102;3
2020-12-14;2102;3
2020-12-21;2102;3
2020-12-28;2102;3
2021-01-04;2102;3
2021-01-11;2102;1
2021-01-18;2102;1
2021-01-25;2102;1
2021-02-01;2102;1
2021-02-08;2102;1
2021-02-15;2102;1
2021-02-22;2102;1
2021-03-01;2102;2
2021-03-08;2102;2
2021-03-15;2102;2
2021-03-22;2102;2
2021-03-29;2102;2
2021-04-05;2102;2
2021-04-12;2102;3
2021-04-19;2102;3
2021-04-26;2102;2
2021-05-03;2102;2
2020-07-27;2103;3
2020-08-03;2103;3
2020-08-10;2103;3
2020-08-17;2103;3
2020-08-24;2103;3
2020-08-31;2103;3
2020-09-07;2103;3
2020-09-14;2103;3
2020-09-21;2103;3
2020-09-28;2103;3
2020-10-05;2103;3
2020-10-12;2103;3
2020-10-19;2103;3
2020-10-26;2103;3
2020-11-02;2103;3
2020-11-09;2103;3
2020-11-16;2103;3
2020-11-23;2103;3
2020-11-30;2103;3
2020-12-07;2103;3
2020-12-14;2103;3
2020-12-21;2103;3
2020-12-28;2103;3
2021-01-04;2103;3
2021-01-11;2103;3
2021-01-18;2103;3
2021-01-25;2103;3
2021-02-01;2103;3
2021-02-08;2103;3
2021-02-15;2103;3
2021-02-22;2103;3
2021-03-01;2103;3
2021-03-08;2103;3
2021-03-15;2103;3
2021-03-22;2103;3
2021-03-29;2103;3
2021-04-05;2103;3
2021-04-12;2103;3
2021-04-19;2103;3
2021-04-26;2103;3
2021-05-03;2103;3
2020-07-27;2104;3
2020-08-03;2104;3
2020-08-10;2104;3
2020-08-17;2104;3
2020-08-24;2104;3
2020-08-31;2104;3
2020-09-07;2104;3
2020-09-14;2104;3
2020-09-21;2104;3
2020-09-28;2104;3
2020-10-05;2104;3
2020-10-12;2104;3
2020-10-19;2104;3
2020-10-26;2104;3
2020-11-02;2104;3
2020-11-09;2104;3
2020-11-16;2104;3
2020-11-23;2104;3
2020-11-30;2104;3
2020-12-07;2104;3
2020-12-14;2104;3
2020-12-21;2104;3
2020-12-28;2104;3
2021-01-04;2104;3
2021-01-11;2104;3
2021-01-18;2104;3
2021-01-25;2104;3
2021-02-01;2104;3
2021-02-08;2104;3
2021-02-15;2104;3
2021-02-22;2104;3
2021-03-01;2104;2
2021-03-08;2104;2
2021-03-15;2104;1
2021-03-22;2104;1
2021-03-29;2104;1
2021-04-05;2104;1
2021-04-12;2104;2
2021-04-19;2104;2
2021-04-26;2104;2
2021-05-03;2104;2
2020-07-27;2201;1
2020-08-03;2201;1
2020-08-10;2201;1
2020-08-17;2201;1
2020-08-24;2201;1
2020-08-31;2201;1
2020-09-07;2201;1
2020-09-14;2201;1
2020-09-21;2201;2
2020-09-28;2201;2
2020-10-05;2201;2
2020-10-12;2201;2
2020-10-19;2201;3
2020-10-26;2201;3
2020-11-02;2201;3
2020-11-09;2201;3
2020-11-16;2201;3
2020-11-23;2201;3
2020-11-30;2201;3
2020-12-07;2201;3
2020-12-14;2201;3
2020-12-21;2201;3
2020-12-28;2201;3
2021-01-04;2201;3
2021-01-11;2201;2
2021-01-18;2201;2
2021-01-25;2201;2
2021-02-01;2201;2
2021-02-08;2201;2
2021-02-15;2201;2
2021-02-22;2201;2
2021-03-01;2201;2
2021-03-08;2201;2
2021-03-15;2201;2
2021-03-22;2201;2
2021-03-29;2201;2
2021-04-05;2201;1
2021-04-12;2201;1
2021-04-19;2201;1
2021-04-26;2201;1
2021-05-03;2201;1
2020-07-27;2202;3
2020-08-03;2202;3
2020-08-10;2202;3
2020-08-17;2202;3
2020-08-24;2202;3
2020-08-31;2202;3
2020-09-07;2202;3
2020-09-14;2202;3
2020-09-21;2202;3
2020-09-28;2202;3
2020-10-05;2202;3
2020-10-12;2202;3
2020-10-19;2202;3
2020-10-26;2202;3
2020-11-02;2202;3
2020-11-09;2202;3
2020-11-16;2202;3
2020-11-23;2202;3
2020-11-30;2202;3
2020-12-07;2202;3
2020-12-14;2202;3
2020-12-21;2202;3
2020-12-28;2202;3
2021-01-04;2202;3
2021-01-11;2202;3
2021-01-18;2202;3
2021-01-25;2202;3
2021-02-01;2202;3
2021-02-08;2202;3
2021-02-15;2202;3
2021-02-22;2202;3
2021-03-01;2202;3
2021-03-08;2202;3
2021-03-15;2202;3
2021-03-22;2202;3
2021-03-29;2202;3
2021-04-05;2202;3
2021-04-12;2202;3
2021-04-19;2202;3
2021-04-26;2202;3
2021-05-03;2202;3
2020-07-27;2203;3
2020-08-03;2203;3
2020-08-10;2203;3
2020-08-17;2203;3
2020-08-24;2203;3
2020-08-31;2203;3
2020-09-07;2203;3
2020-09-14;2203;3
2020-09-21;2203;3
2020-09-28;2203;3
2020-10-05;2203;3
2020-10-12;2203;3
2020-10-19;2203;3
2020-10-26;2203;3
