CODIGO_COMUNA;PASO;PASO_PROB
10304;2;FALSE
10207;3;FALSE
10208;3;FALSE
10209;2;FALSE
10210;2;FALSE
10305;1;FALSE
10306;1;FALSE
10307;1;FALSE
11201;2;FALSE
11401;3;FALSE
11202;1;FALSE
11301;2;FALSE
11101;2;FALSE
11203;2;FALSE
11102;4;FALSE
11302;4;FALSE
11402;3;FALSE
11303;4;FALSE
12201;3;FALSE
12102;4;FALSE
12401;1;FALSE
12301;1;FALSE
12302;4;FALSE
12101;1;FALSE
12103;4;FALSE
12104;4;FALSE
12303;4;FALSE
12402;4;FALSE
